name,gfn2_alpha(A^3),add_alpha(A^3),dft_alpha(A^3),subset
63783876,22.396937188174178,23.774,22.489247130000006,pcqc
64063461,22.988202039956803,23.96100000000001,22.48993866,pcqc
63335577,22.80495786328536,24.02900000000001,22.492161435000003,pcqc
15185467,23.001521474545175,24.041999999999998,22.497002145000003,pcqc
263572,21.28107297070268,22.594000000000005,22.498780365,pcqc
51078880,21.727552172116127,22.764000000000006,22.503966840000004,pcqc
44456172,21.54258149537361,22.70800000000001,22.504608975,pcqc
65077463,22.81304489571856,23.96400000000001,22.504806555000005,pcqc
64297650,22.66746793899117,24.058000000000003,22.50584385,pcqc
21026305,22.74635051360611,23.29000000000001,22.509499080000005,pcqc
46784512,22.064372612599087,22.922000000000004,22.510931535,pcqc
63973651,22.53436709766029,23.547000000000004,22.511227905,pcqc
18006987,22.488408350381466,23.747000000000003,22.512018225,pcqc
62530613,22.522742007060657,23.747000000000003,22.512215805000004,pcqc
65173094,22.57047082071568,23.609000000000005,22.51275915,pcqc
21390987,21.95690550354835,23.119000000000003,22.514883135,pcqc
54057461,22.492161869118096,23.47800000000001,22.516118010000003,pcqc
7061637,22.805783696681303,24.02600000000001,22.51661196,pcqc
62902818,22.582166595422592,23.67400000000001,22.517155305000006,pcqc
17042719,21.756525987788454,22.873000000000005,22.518933525,pcqc
14743025,22.657967372597113,24.174000000000003,22.51947687,pcqc
64399532,23.068489257449922,24.282000000000004,22.52105751,pcqc
64516694,22.843460252262176,24.001000000000005,22.525799430000006,pcqc
23346565,22.9431949348938,24.274000000000004,22.52668854,pcqc
11769443,22.815196982280426,23.960000000000008,22.528022205,pcqc
673649,20.755632064038466,22.16200000000001,22.528763130000005,pcqc
19813164,22.22761126050937,23.623,22.529010105000005,pcqc
53787621,22.514630524150096,23.565000000000005,22.529751030000003,pcqc
62859103,22.9633640595762,23.96100000000001,22.529751030000003,pcqc
63937694,22.510070287845288,23.519000000000005,22.531381065,pcqc
20555715,21.338794472177923,22.088000000000005,22.532418360000005,pcqc
11229259,21.031708183120845,22.244,22.532961705,pcqc
62940098,21.74217815130383,22.570000000000004,22.536122985,pcqc
57207058,23.316569728139125,24.33,22.537506045000004,pcqc
62647860,22.891359033781036,24.009000000000004,22.538148180000004,pcqc
21327583,19.186173556241556,20.199,22.538839710000005,pcqc
11481232,22.56860487883129,23.565000000000005,22.54012398,pcqc
278965,23.25145514323359,24.20000000000001,22.542939495,pcqc
19627554,22.17304876070912,23.237,22.545705615000006,pcqc
13007518,21.088634969989506,22.367000000000004,22.54595259,pcqc
54059881,22.033411639948543,23.140000000000004,22.54733565,pcqc
64811783,23.265222540204157,24.28700000000001,22.548175365,pcqc
22252974,21.162805122601146,22.533,22.548866895000003,pcqc
515595,22.68696237868314,23.451000000000004,22.549064475,pcqc
610405,21.75869259645204,22.623,22.54941024,pcqc
16486025,21.484807536510587,22.25600000000001,22.550348745,pcqc
19067570,21.45763935154516,22.705,22.550694510000003,pcqc
54082309,20.368286564398698,21.123000000000005,22.552126965,pcqc
43143115,21.858808261976343,22.733,22.552571520000004,pcqc
57020001,22.08787352232984,22.783000000000005,22.552818495,pcqc
59444932,21.950495922046805,22.888000000000005,22.556374935000004,pcqc
43477292,22.743984300136447,23.76000000000001,22.557856785,pcqc
64579038,23.48551852571373,24.09200000000001,22.559585610000006,pcqc
58993138,21.416812833556683,22.261999999999997,22.56086988,pcqc
14762607,22.95698737508056,24.34800000000001,22.56096867,pcqc
58928680,20.60587274202001,21.767000000000003,22.564772085,pcqc
22591332,21.413492903285245,22.25600000000001,22.56546361500001,pcqc
3681956,22.980903053818174,23.97900000000001,22.56610575,pcqc
57097139,22.194046237927576,23.413000000000004,22.567439415,pcqc
42600175,22.93456554641732,24.28700000000001,22.56798276,pcqc
58331902,22.71658939256277,24.256000000000004,22.57035372,pcqc
10488625,22.800585969748568,23.940000000000005,22.5715392,pcqc
43483279,22.431701914178472,23.544000000000004,22.57173678,pcqc
11769337,21.562857313048138,23.198,22.57193436,pcqc
14003985,22.251688608766983,23.64000000000001,22.573119840000004,pcqc
19095589,22.99059344482738,24.396000000000004,22.573564395,pcqc
28065643,22.48698118342716,23.747000000000003,22.575540195,pcqc
20464302,22.77067918313405,24.00200000000001,22.575638985,pcqc
64808558,22.5780771419455,23.568000000000005,22.576429305,pcqc
63973594,22.83863846994195,24.009000000000004,22.576725675,pcqc
58089873,22.9608868557578,24.030000000000005,22.578701475,pcqc
62790897,22.5857095436845,23.778,22.580578485,pcqc
57364520,22.310079312398347,23.326,22.582455495,pcqc
10559811,22.72464782534669,24.08600000000001,22.584233715,pcqc
40705,22.267863859111074,23.48,22.585468590000005,pcqc
54245810,22.046733890046433,23.11,22.589765955,pcqc
53981200,22.390953637717548,23.70100000000001,22.590309300000005,pcqc
43292788,22.57134229500269,23.90400000000001,22.59218631,pcqc
20426846,22.594498230725595,23.49900000000001,22.592235705,pcqc
53219813,21.482836087111764,22.718000000000004,22.593223605,pcqc
44223705,23.241241512008862,24.675000000000008,22.593865740000005,pcqc
14454462,22.615718874119224,23.765000000000004,22.597076415000004,pcqc
1948986,21.240528744589177,22.421999999999997,22.598607660000006,pcqc
53043711,22.170649502048846,22.301000000000005,22.604386875,pcqc
10399075,22.4953315400923,23.35100000000001,22.608536055,pcqc
63016644,23.47799192785857,24.750000000000004,22.610067300000004,pcqc
37033,22.38334672374889,23.592,22.61075883,pcqc
28361348,23.099557515831428,24.480999999999998,22.611005805,pcqc
43511820,22.421123452194585,23.556000000000004,22.61115399,pcqc
53387965,22.226010124704032,23.47400000000001,22.615451355,pcqc
12867268,22.324372172355094,23.826,22.6179705,pcqc
62920769,22.289355976895767,23.39500000000001,22.61836566,pcqc
59150127,22.081421856370287,23.068000000000005,22.618711425,pcqc
20137674,21.90367251697768,22.797000000000004,22.61964993,pcqc
64160448,22.136278354637703,23.307,22.624441245,pcqc
16414610,22.45646432035632,23.654000000000003,22.625824305,pcqc
63048800,23.21426211436561,24.48,22.62775071,pcqc
22172265,23.39757341871127,24.55400000000001,22.62913377,pcqc
64775114,22.142706755597587,23.46400000000001,22.62913377000001,pcqc
64897324,23.22849970142505,24.112000000000005,22.630319250000003,pcqc
62578031,22.350847001056447,23.48000000000001,22.6308132,pcqc
13063530,20.876964371969194,21.97,22.63120836,pcqc
50915890,22.389146821532954,23.592,22.63525875,pcqc
59510553,22.99250902859005,24.12100000000001,22.635703305000003,pcqc
63364765,22.519566705067426,23.565000000000005,22.63644423,pcqc
65212722,22.804350750523266,24.02900000000001,22.639556115,pcqc
64687951,23.52592004995027,24.705,22.642025865000004,pcqc
18926709,22.296761804211226,23.02900000000001,22.642519815000004,pcqc
63256149,22.739955602390967,23.752,22.647113550000004,pcqc
64539677,23.05844752049028,24.12100000000001,22.64829903,pcqc
17830655,23.1177522274208,24.434,22.64928693,pcqc
54420262,22.558929899032048,23.028,22.64948451,pcqc
43441405,23.152752715300732,23.89800000000001,22.652201235000003,pcqc
3015087,23.854874549589248,24.476000000000006,22.654572195000004,pcqc
18731824,22.92549664208721,24.283,22.655461305000006,pcqc
318244,22.3510578679006,23.53200000000001,22.655609490000003,pcqc
45077538,19.99451848892965,20.236,22.656350415,pcqc
487625,20.063012277991124,21.243000000000002,22.6564986,pcqc
57735245,22.24604899502523,23.76999999999999,22.658820165,pcqc
64588019,22.633302620144,23.595,22.66005504,pcqc
13970249,22.505328525269146,23.74100000000001,22.660450199999996,pcqc
62651333,22.000505742962503,23.021,22.66153689,pcqc
11769209,21.080149913421817,22.368,22.66351269,pcqc
28878886,23.07840903839219,24.12100000000001,22.665933045,pcqc
63124709,22.31752885420364,23.097000000000005,22.66677276,pcqc
22898609,20.466600748388018,21.409,22.66983525000001,pcqc
65197949,21.42995340919854,21.995000000000005,22.670477385000005,pcqc
14153739,22.484130998690468,23.585000000000004,22.67062557,pcqc
64255720,22.781474142981114,24.077000000000005,22.672650765,pcqc
551862,22.85927482101901,23.640000000000004,22.673342295,pcqc
43836265,22.207062042042534,22.969000000000005,22.67433019500001,pcqc
63160648,22.7877856262038,24.00800000000001,22.675515675000003,pcqc
54362276,21.980966403303018,23.010000000000005,22.67734329,pcqc
62725705,23.138672944958802,24.519,22.679170905000007,pcqc
64295568,22.790626623488393,23.78700000000001,22.68040578,pcqc
39345687,22.748313220106965,24.256000000000004,22.681245495,pcqc
10656367,22.88156506165864,23.79900000000001,22.681838235,pcqc
63290245,24.156047972296964,24.741000000000003,22.682875530000004,pcqc
10560356,21.719967634038877,23.309,22.684110405,pcqc
63164126,23.196253967327753,24.29400000000001,22.684406775000006,pcqc
49959120,22.672345142393407,23.24600000000001,22.684900725,pcqc
13692865,21.75425327887161,23.182,22.68504891,pcqc
23520509,22.095950774572096,23.46100000000001,22.685987415,pcqc
65065302,23.068398568406625,24.169000000000004,22.685987415,pcqc
62604273,22.898165157569967,24.02900000000001,22.68682713,pcqc
63745096,22.569312609012343,23.875999999999998,22.68919809,pcqc
54564583,23.026015370026197,24.486,22.69354485,pcqc
19361858,20.371883303710803,21.132000000000005,22.6940388,pcqc
63555408,21.253870110514818,22.092,22.698138585,pcqc
19957162,22.321928606466145,23.664000000000005,22.698237375,pcqc
19827624,21.1312883090986,22.328000000000007,22.6999662,pcqc
64455168,22.608796573516656,23.67400000000001,22.70006499,pcqc
21917606,21.435785663064962,22.867,22.70381901,pcqc
64838128,22.754807118709234,24.00800000000001,22.70520207,pcqc
62541509,22.691168749897447,23.908000000000005,22.708560930000004,pcqc
58443687,22.190110303811355,23.436000000000003,22.708906695,pcqc
64456027,22.515793181394773,23.59200000000001,22.712067975000004,pcqc
62527956,22.799214223876284,24.077000000000005,22.716019575,pcqc
2837720,21.378053492290512,22.277000000000008,22.71735324,pcqc
65244492,22.56614190074516,23.871,22.71784719,pcqc
