ID,SMILES
549611,CC=CC(=O)N1CCOC1=O
13924631,C1=CC=NC(=C1)C2=C(C=C(C=C2)Cl)[N+](=O)[O-]
64313329,C=CCCN1C2=C(C(=CC=C2)Cl)C(=O)C1=O
60725344,CN1CCN(CC1)C(=O)/C=C/C2=CN=CC=C2
43119214,CC(C)C(C)NC1=CC(=C(C=C1)F)Cl
10725746,CCC(=C=CC(C)(C)C(=O)C)C
24714074,CCCN(CC1=CC(=CC=C1)OC)CC(C)O
18506025,C1=CC2=C(N=C1)N=CN2C/C=C/CN
63222128,CCCOCC1=NC(=C2C=NN(C2=N1)C)NN
58951607,C1CC(C2=C(C1)C=CC(=C2)F)C#N
382624,CC1=NC(=O)C2=C(N1)N(C=N2)CCO
21026305,CC(C)COCCOCCOCCOC
58650208,CC(C)[C@@H](C(=O)OC)N(C)Cl
53815068,CCOC(=O)N(C(=O)C=C)N=C=O
53218593,CC1=C(C=CC(=C1)Cl)C2=CC=CC=C2O
54846755,CCNCC1=NOC2=C1CCC2
43316829,CCOC1=CC=CC=C1C(C)CN
43547400,CC1=C(C(=NN1)C)NC2CCN(CC2)C
20453953,CCOC(C)C1=CC=CC2=CC=CC=C21
63189294,C1CC(NC1)CN2CCOC3=CC=CC=C3C2
43350830,C1CCC2=C(CC1)SC(=C2)CO
13051960,C1=CC=C(C=C1)CSC[C@@H](CO)N
63058629,CN(C1CCOCC1)C2=CC=C(C=C2)CNCCOC
20294901,CC(=C)CCCC1CO1
54120169,CC(C(=O)OCC(=O)N(C)OC)Cl
62724685,CCC(CCOC)(CNCC)C1=CC=CC=C1
58683634,CC(C)C(=O)C(C)(C)C(O)O
43201029,CCC(C)C(C)NC1=CC(=C(C=C1)OC)OC
62737565,CC(C)OC1=CC=C(C=C1)N2C(=NN=N2)CN
43363174,CCC1=CC=C(C=C1)NC(C)C2(CC2)C
59825844,CC(C)(C)C1=NN=C2N1CCCOC2
63826263,CC(CCNCC1=CSC=N1)N
17767681,C=NC(CC1=CNC2=C1C=C(C=C2)O)C(=O)O
58342015,C1=CC(=C(C=C1[N+](=O)[O-])OCCF)C=O
21028219,CN1C=CC2=C1C(=O)CCNS2
20782728,CC(C)NC1(CCC1)C
20544625,CCCC(OCCN(C)C)OCCN(C)C
1948986,CC1=NC2=C(C=CC(=C2C=C1)Cl)OC
62587345,CC1C2=NN=C(N2CCN1)C3=CC=CC=N3
15849054,C=NCCS
21638631,C#CC1=CC=C(C=C1)C2CC2CO
13589539,CCOC(=O)C1=C(NC2=NC=CN2C1C)C
24976129,COC1=C(NC(=C1OC)C(=O)O)C(=O)O
20703278,CC1CCN(C1)C(=O)C2=CN(C=N2)C
62587083,CC1CCC(CN1C2=C(C=CC=N2)Cl)CN
23341794,C1C=CN=C2N1C3=CC=CC=C3S2
43188059,CCC1CCCCC1OCC(CNC)O
522311,CCC(=C)CCCC(=C)C
64574610,CC1=CC(=CC=C1)COCC2(CCCC2)N
65178424,CCC(C)(CCCOCC)CNCC
10104266,C1CC(=O)C2=C(C=CC(=C21)Cl)Cl
63179661,CC1=C(C=C(C=C1)C(=N)N2CCCC2)F
62541509,CC1=CC(=CC=C1)C(C#N)NCCOC
64256876,CCC1CCCC(C1)N(C)CCCN
242681,C1=CC2[C@H]([C@@H](C1O2)C#N)C#N
59940753,CCNC1C(N2CCC1CC2)C
202774,COC1=CC=CC=C1NC2=CC=CC=C2C(=O)O
20393201,C(#N)OC(=O)C(=O)O
181549,CCCCCCCCCCCCCCC=CO
43530498,CC1CCC(C(C1)SC2=CC=CC=N2)CN
65124826,C1CCC(C1)(CN)OCC2=CC(=CC=C2)Cl
64151437,CCCC1=NC=CN1CC(=O)C2CC2
524308,CC1=CC(=C(C=C1)CCl)CCl
63902907,CCCN(CC)C1CCCNCC1
57887541,CCCCC(CC)COCCCNC
20287010,CC1=CN2C3=C(C4=CC=CC=C4N3)N=C2N=C1C
4047610,C1=CC(=CC(=C1)C(=O)O)C2=CSC=C2
22293931,C1=CSC(=N1)C(=O)CCNC(=O)O
63609756,CCC1CN(CCN1C)C(C)C(=O)O
11769443,CCN1CCC[C@H]1CN2CCCCC2
64313093,C=CCCCSC1=CC(=CC(=C1)F)N
53805934,CC1=CC(=C(C=C1C)C(=O)C(C)CN(C)C)C
57234582,CN(C)C(CCN)N(C)C
45116647,CC(CN)OC1=CC=NC=C1
19107173,C1C2=CC=CC=C2C=C1C3C=CC4=CC=CC=C34
546647,CC(C)(C)SSC1=NC2=CC=CC=C2S1
45119092,COC(=O)C(C(=O)CF)F
59602235,CC1(CCCC2(C1)CCCC2)O
16756562,CCCC#CC1=C(C=CC=N1)[N+](=O)[O-]
62772415,CCNCC(C1=CC=CC=C1)(C(C)C)O
59545485,CCC1=C(C=C(C=C1)N2C[C@H](O[C@H](C2)C)C)F
443032,CN(C)C1CSSSSSC1
20263817,CCC1CC(=CC1=O)OCC(C)C
4426693,C1CCC(CC1)(CC(=O)O)N
30030402,CC[C@@H](C(=O)O)N1CCN(CC1)C
432062,CCC(C)CN1CCC2=C(C1)C3=C(CCC3)C(=C2OC)OC
59289590,CC(C)N(C)CCCN1C=CN=C1
10900748,CCOC(=O)C(CC(=O)O)C1=CCCCCC1
21554226,CC1CCC(=CC1)C2=CC=C(C=C2)C(C)Cl
22718991,C(C=O)C(F)(F)Cl
19607235,CC(CCC(C)CS)CS
58478656,C1CC(OC1)CC(CCCC(F)(F)F)C#N
59327558,[2H]C1=CC(=NC=C1Br)C([2H])([2H])[2H]
20721852,CCCON1C(=O)C=CC1=O
59578650,CC1=C(C2=C(C=C1)OCCN2)C
23234839,[C@@H]1([C@H](C(O[C@@H]1F)(F)F)F)F
53941036,CC1=C(C(=C(C(=C1C)C)N=NC)C)C
10585962,CCOC(=O)C(C)(C)CCCS(=O)(=O)N
16686488,[2H]C=CCOC1=CC(=O)CCC1
20534428,CC1=C2CCCC2(CCN1)C3=CC=CC=C3
62889832,CN(C)CC1CCCN1CC(=O)C2=CC=CN2
14226488,C1=CC=C(C=C1)C(=O)C2=CC=C(N2)C=O
62567655,CC(C)COCCNCC1CCOC1
63281551,CC1CCCC1N2CC3=C(C2)C=C(C=C3)N
24903957,CC1=NC2=CN=C(N=C2N1C3CCCC3)Cl
58450360,CO[C@@H](C1=CN=CC=C1)C(F)(F)F
63894481,C#CCCC(C1=CC2=C(C=C1)OCO2)O
18938138,CCOC(=O)C1=CSC(=C1C)Cl
45275905,COC1=CC=CC=C1COC(=O)OC
7064924,C1[C@@H]2C=C[C@H]1[C@@H]3[C@H]2C(=O)N(C3=O)C4=CC=CC=C4
14935367,C1OC2=C(O1)C=C3C(=C2)C(=NC=N3)Cl
22366281,CCCCC[N+](=C=N)CCCCC
59006019,CC1=CC2=NN=C(N2N1)C3=CC=CC=N3
20494989,C1C=CC=CC(=O)N1
