Folder,Molecule,alpha_GFN2,alpha_wb97,error
pubchemqc,9834540,23.850712633788326,25.87749613020173,2.0267834964134
mike-copolymer,78-94,26.628271443999996,28.65477333,2.02650188600001
mike-copolymer,41-60,26.626245619999995,28.652208,2.02596238000001
mike-copolymer,46-74,27.345265731999998,29.37025467,2.024988938
pubchemqc,43715683,26.84458778764717,28.869345450872704,2.02475766322553
mike-copolymer,63-94,31.379293147999995,33.40379733,2.02450418200001
mike-copolymer,45-89,26.533105963999997,28.557044,2.023938036
mike-copolymer,15-77,26.385970432,28.40929067,2.023320238
mike-copolymer,32-80,25.434260428,27.45656533,2.022304902
mike-copolymer,41-43,27.4366396,29.45861067,2.02197107
mike-copolymer,69-80,29.045277648,31.06722267,2.021945022
mike-copolymer,46-56,26.577541336000003,28.59799067,2.020449334
mike-copolymer,71-74,28.450379955999995,30.4695,2.019120044
mike-copolymer,65-84,30.599688792000002,32.61821333,2.018524538
mike-copolymer,76-91,30.954503696,32.97282133,2.018317634
mike-copolymer,58-80,25.719196244,27.73722267,2.018026426
pubchemqc,53415386,24.53357312293572,26.55025471939669,2.01668159646097
pubchemqc,244221,28.25023802550364,30.266727278209373,2.01648925270573
pubchemqc,15332557,20.46916004653648,22.48554808908441,2.01638804254793
mike-copolymer,39-92,28.974661223999995,30.98819067,2.01352944600001
pubchemqc,63808234,26.2292227671614,28.242524122173442,2.01330135501204
mike-copolymer,28-75,27.880395696,29.89294133,2.012545634
pubchemqc,22326813,21.758124752638427,23.770309535851,2.01218478321257
pubchemqc,57055302,18.722158472465075,20.734004801797084,2.01184632933201
mike-copolymer,8-59,24.653009719999996,26.66437067,2.01136095
mike-copolymer,36-76,30.804934155999998,32.81539867,2.010464514
mike-copolymer,65-79,28.893370744,30.90363333,2.010262586
mike-copolymer,23-46,26.917648888000002,28.92783333,2.010184442
pubchemqc,54519551,24.978773045736734,26.9888814647749,2.01010841903816
mike-copolymer,34-83,31.344264211999995,33.35436533,2.01010111800001
mike-copolymer,33-49,28.023883619999996,30.03235733,2.00847371
mike-copolymer,17-86,32.911233747999994,34.91936667,2.00813292200001
mike-copolymer,74-80,27.765690219999996,29.77306133,2.00737111
kyle-mutants,1814,82.321972956,84.329068,2.00709504400001
pubchemqc,43591544,26.38729584422129,28.393672527675392,2.0063766834541
mike-copolymer,62-85,31.646648192,33.65278267,2.006134478
mike-copolymer,64-84,28.876142211999998,30.881384000000004,2.00524178800001
mike-copolymer,65-75,30.249561936,32.254084000000006,2.00452206400001
