ID,alpha_GFN2(A^3),gap_GFN2(eV),alpha_DFT(A^3),gap_DFT(eV),pi_sys_size
63459661,26.350134230512104,4.147,26.392687005,9.678545434584,7
63461289,22.22804499715928,4.4336,22.268797245000005,10.121818897048499,6
63462948,26.2805296488549,3.2864,26.98122843,8.995267555978499,7
63477272,28.67199305239477,3.6143,29.40593019,9.8600453728675,6
63478295,28.68552379838141,3.6058,29.62109481,9.7963707318505,6
63521110,24.81573074256889,9.4583,24.906885405,10.956392076532,1
63526148,24.940562432456414,2.0263,26.592144015,7.3647613637825025,12
63538060,23.68616877494113,3.2344,23.83417419,8.842339571997499,7
63539111,21.848887443741088,3.5354,21.445777755000005,9.8910663518245,5
63544588,26.61264818844905,4.543,26.521262190000005,10.194473295132001,6
63555408,21.253870110514818,2.2785,22.698138585,8.1353877883985,13
63556352,24.18325972356749,3.6129,24.498536940000005,9.5384068015765,7
63556891,20.469628458408824,3.3219,20.386057425,9.1454744014545,7
63557229,25.94115242936359,3.5767,25.7713473,9.9199104199775,6
63557358,24.901946830360174,3.0004,24.09725196,9.3223484042795,7
63557375,24.391870010930532,3.4825,24.278976165,9.108739031637,7
63558500,21.39516363997804,3.4245,21.127180005000003,9.2815313267045,7
63559179,23.61258395193904,2.6945,26.35391193,7.9073563816795005,12
63560109,23.517505529305147,4.1312,23.586952215000004,9.6711983606205,7
63560750,19.08884702335289,4.17,18.4470567,10.146037029743,5
63560873,22.790484366165565,4.538,23.006462175,10.078008567118,6
63560877,23.508585995163997,4.1706,23.583445170000005,9.658953237348,7
63561024,18.207867724400845,3.6016,17.393757720000004,11.445108552030003,5
63562460,26.541686975760108,2.5254,26.72417685000001,9.0203020302245,6
63562461,21.32325908341712,3.3868,20.506531830000004,9.5857546115635,5
63563456,25.97353864256718,3.8145,25.898094870000005,10.282638182694,5
63564003,25.85483957695583,3.7805,26.450281575,9.3386752353095,7
63564971,20.350955473306662,3.0747,19.778795295,10.064947102294001,3
63586097,25.20450177913113,2.9524,24.98744865,9.147923426109001,6
63586187,21.13725259554277,3.4099,21.76353579,8.946287062888501,7
63586846,21.759503018638004,3.3396,22.075415820000003,9.3065658009505,7
63587261,24.87915765179769,3.1744,25.134151800000005,8.756079481389001,7
63587693,22.11732212181709,1.75,23.808636975,7.9182409356995,11
63587813,24.57672243627345,3.4654,25.43723952,8.866829818542499,8
63592819,14.94330563303933,3.6104,14.254804260000002,9.021662599477,9
63595552,27.61676068412797,9.4892,27.41931268500001,10.366449248648,1
63596010,23.545851041801658,4.7157,23.775542325,10.838566779265498,3
63596297,23.49822699473751,2.7083,23.094879225,9.182753998973,6
63597075,22.88801998768184,4.5888,23.14234782,10.989589966293002,3
63597282,24.505767891896525,2.0929,24.562799835000003,8.781658183336,6
63609756,21.036407713054267,3.4396,20.451950355,10.741966362338,3
63616287,24.63708414474951,2.8185,26.30787579,8.7002961420365,9
63617822,24.265362351958466,4.0594,23.81441619000001,10.768089291986001,3
63618274,25.080075374428944,2.984,26.819657385,8.2953907324925,10
63618419,25.87619062289539,2.5875,26.513655360000005,8.790365826552,9
